,ID,Source,date,art_type,authors,affiliations,title,keywords,abstract,publisher,doi,citations,Citations per year,Include,ML/DL techniques,Ensemble/stacked models,Spatial,Country,Type of modelling,Pollutant analysed,Output produced,Pollutants considered,Pollutants source,Spatial resolution,Time resolution,Other data,Source of other data,Spatial resolution.1,Time resolution.1,Comments,Accuracy,Feature selection,FS Comments,Optimization,Optimization comments,Transformation,Transformation comments,Decomposition,Decomposition comments,Outlier removal,OR comments,Gap fill,GF comments,geospatial study description
304,2-s2.0-85121227525,Scopus,2022,Article,"Kurnaz G., Demir A.S.","Program of Industrial Engineering, Engineering Faculty, Sakarya University, Serdivan, Sakarya 54050, Turkey; Department of Industrial Engineering, Faculty of Engineering, Sakarya UniversitySakarya, Turkey",Prediction of SO2 and PM10 air pollutants using a deep learning-based recurrent neural network: Case of industrial city Sakarya,Covid 19; Deep learning; PM10; prediction; recurrent neural networks; SO2,"SO2 and PM10 are among the air pollutants that play the most effective role in air pollution. In the study, estimates were made in 2020 that these contaminants were affected by the Covid-19 pandemic using recurrent artificial neural networks, one of the deep learning approaches that are very popular today. Data belonging to Sakarya province, where industrialization is concentrated, was obtained from the air monitoring center of the Ministry of Environment and Urbanization, and modeling and optimization was carried out in Python software. The statistical analysis of the obtained SO2 and PM10 estimation results was made and when compared with the actual data, values of 0.67Â0.88 in correlation and 2.84Â14.09 in RMSE were reached. The results were compared with other studies in the related literature and showed how well deep learning architectures can yield under conditions that negatively affect prediction techniques such as Covid 19. In addition, it has been observed that the PM10 value for Sakarya province exceeds the legal limit three times on some days, especially during peak production periods. Â© 2021",Urban Climate,10.1016/j.uclim.2021.101051,21,11,Yes,"RNN,LSTM",,No,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2-s2.0-85134073803,Scopus,2021,Article,"Moursi A.S., El-Fishawy N., Djahel S., Shouman M.A.","Computer Science and Engineering Department, Faculty of Electronic Engineering, Menoufia University, Menoufia Governorate, Menouf, 32952, Egypt; Department of Computing and Mathematics, Manchester Metropolitan University, Manchester, M15 6BH, United Kingdom",An IoT enabled system for enhanced air quality monitoring and prediction on the edge,Air pollution forecast; Edge computing; IoT; Machine learning; NARX architecture; PM2.5,"Air pollution is a major issue resulting from the excessive use of conventional energy sources in developing countries and worldwide. Particulate Matter less than 2.5Â Âµm in diameter (PM2.5) is the most dangerous air pollutant invading the human respiratory system and causing lung and heart diseases. Therefore, innovative air pollution forecasting methods and systems are required to reduce such risk. To that end, this paper proposes an Internet of Things (IoT) enabled system for monitoring and predicting PM2.5 concentration on both edge devices and the cloud. This system employs a hybrid prediction architecture using several Machine Learning (ML) algorithms hosted by Nonlinear AutoRegression with eXogenous input (NARX). It uses the past 24Â h of PM2.5, cumulated wind speed and cumulated rain hours to predict the next hour of PM2.5. This system was tested on a PC to evaluate cloud prediction and a Raspberry Pi to evaluate edge devicesÂ prediction. Such a system is essential, responding quickly to air pollution in remote areas with low bandwidth or no internet connection. The performance of our system was assessed using Root Mean Square Error (RMSE), Normalized Root Mean Square Error (NRMSE), coefficient of determination (R2), Index of Agreement (IA), and duration in seconds. The obtained results highlighted that NARX/LSTM achieved the highest R2 and IA and the least RMSE and NRMSE, outperforming other previously proposed deep learning hybrid algorithms. In contrast, NARX/XGBRF achieved the best balance between accuracy and speed on the Raspberry Pi. Â© 2021, The Author(s).",Complex and Intelligent Systems,10.1007/s40747-021-00476-w,31,11,Yes,"LSTM,RF,ERT,GBM,XGB",,No,"Egypt,United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,
342,2-s2.0-85099747294,Scopus,2021,Article,"Razavi-Termeh S.V., Sadeghi-Niaraki A., Choi S.-M.","Geoinformation Tech. Center of Excellence, Faculty of Geodesy and Geomatics Engineering, K.N. Toosi University of Technology, Tehran, 19697, Iran; Departmet of Computer Science and Engineering, and Convergence Engineering for Intelligent Drone, Sejong University, Seoul, South Korea",Asthma-prone areas modeling using a machine learning model,,"Nowadays, owing to population growth, increasing environmental pollution, and lifestyle changes, the number of asthmatics has significantly increased. Therefore, the purpose of our study was to determine the asthma-prone areas in Tehran, Iran considering environmental, spatial factors. Initially, we built a spatial database using 872 locations of children with asthma and 13 environmental factors affecting the diseaseÂdistance to parks and streets, rainfall, temperature, humidity, pressure, wind speed, particulate matter (PM 10 and PM 2.5), ozone (O3), sulfur dioxide (SO2), carbon monoxide (CO), and nitrogen dioxide (NO2). Subsequently, utilizing this spatial database, a random forest (RF) machine learning model, and a geographic information system, we prepared a map of asthma-prone areas. For modeling and validation, we deployed 70% and 30%, respectively, of the locations of children with asthma. The results of spatial autocorrelation and RF model showed that the criteria of distance to parks and streets as well as PM 2.5 and PM 10 had the greatest impact on asthma occurrence in the study area. Spatial autocorrelation analyses indicated that the distribution of asthma cases was not random. According to receiver operating characteristic results, the RF model had good accuracy (the area under the curve was 0.987 and 0.921, respectively, for training and testing data). Â© 2021, The Author(s).",Scientific Reports,10.1038/s41598-021-81147-1,31,11,No,,,,"Iran,South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,
356,WOS:000853256500003,WoS,2022,Article,"Kow, Pu-Yun; Chang, Li-Chiu; Lin, Chuan-Yao; Chou, Charles C-K; Chang, Fi-John","[Kow, Pu-Yun; Chang, Fi-John] Natl Taiwan Univ, Dept Bioenvironm Syst Engn, Taipei 10617, Taiwan; [Chang, Li-Chiu] Tamkang Univ, Dept Water Resources & Environm Engn, New Taipei 25137, Taiwan; [Lin, Chuan-Yao; Chou, Charles C-K] Acad Sinica, Res Ctr Environm Changes, Taipei 11529, Taiwan",Deep neural networks for spatiotemporal PM2.5 forecasts based on atmospheric chemical transport model output and monitoring data,PM2.5 forecast; Deep neural network (DNN); Convolutional neural network (CNN); Atmospheric chemical transport model; Regional air quality forecast,"Reliable long-horizon PM2.5 forecasts are crucial and beneficial for health protection through early warning against air pollution. However, the dynamic nature of air quality makes PM2.5 forecasts at long horizons very challenging. This study proposed a novel machine learning-based model (MCNN-BP) that fused multiple convolutional neural networks (MCNN) with a back-propagation neural network (BPNN) for making spatiotemporal PM2.5 forecasts for the next 72 h at 74 stations covering the whole Taiwan simultaneously. Model configuration involved an ensemble of massive hourly air quality and meteorological monitoring datasets and the existing publicly-available PM2.5 simulated (forecasted) datasets from an atmospheric chemical transport (ACT) model. The proposed methodology collaboratively constructed two CNNs to mine the observed data (the past) and the forecasted data from ACT (the future) separately. The results showed that the MCNN-BP model could significantly improve the accuracy of spatiotemporal PM2.5 forecasts and substantially reduce the forecast biases of the ACT model. We demonstrated that the proposed MCNN-BP model with effective feature extraction and good denoising ability could overcome the curse of dimensionality and offer satisfactory regional long-horizon PM2.5 forecasts. Moreover, the MCNN-BP model has considerably shorter computational time (5 min) and lower computational load than the compute-intensive ACT model. The proposed approach hits a milestone in multi-site and multi-horizon forecasting, which significantly contributes to early warning against regional air pollution.",ENVIRONMENTAL POLLUTION,10.1016/j.envpol.2022.119348,21,11,Yes,STBPNN,,Yes,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,
408,2-s2.0-85103381001,Scopus,2021,Article,"Cao W., Xie Z., Li J., Xu Z., Ming Z., Wang X.","College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, 518060, China",Bidirectional stochastic configuration network for regression problems,Constructive neural networks; Neural networks with random weights; Random vector functional link network; Randomized algorithms; Stochastic configuration network,"To adapt to the reality of limited computing resources of various terminal devices in industrial applications, a randomized neural network called stochastic configuration network (SCN), which can conduct effective training without GPU, was proposed. SCN uses a supervisory random mechanism to assign its input weights and hidden biases, which makes it more stable than other randomized algorithms but also leads to time-consuming model training. To alleviate this problem, we propose a novel bidirectional SCN algorithm (BSCN) in this paper, which divides the way of adding hidden nodes into two modes: forward learning and backward learning. In the forward learning mode, BSCN still uses the supervisory mechanism to configure the parameters of the newly added nodes, which is the same as SCN. In the backward learning mode, BSCN calculates the parameters at one time based on the residual error feedback of the current model. The two learning modes are performed iteratively until the prediction error of the model reaches an acceptable level or the number of hidden nodes reaches its maximum value. This semi-random learning mechanism greatly speeds up the training efficiency of the BSCN model and significantly improves the quality of the hidden nodes. Extensive experiments on ten benchmark regression problems, two real-life air pollution prediction problems, and a classical image processing problem show that BSCN can achieve faster training speed, higher stability, and better generalization ability than SCN. Â© 2021 Elsevier Ltd",Neural Networks,10.1016/j.neunet.2021.03.016,33,11,No,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,
474,2-s2.0-85100047914,Scopus,2021,Article,"Ryan R.G., Silver J.D., Schofield R.","School of Earth Sciences, The University of Melbourne, Australia; ARC Centre of Excellence for Climate System Science, Sydney, Australia; School of Mathematics and Statistics, The University of Melbourne, Australia; ARC Centre of Excellence for Climate Extremes, Sydney, Australia","Air quality and health impact of 2019Â20 Black Summer megafires and COVID-19 lockdown in Melbourne and Sydney, Australia",Air quality; COVID-19; Meteorological normalisation; Particulate matter; Pollution health impact; Smoke,"Poor air quality is an emerging problem in Australia primarily due to ozone pollution events and lengthening and more severe wildfire seasons. A significant deterioration in air quality was experienced in Australia's most populous cities, Melbourne and Sydney, as a result of fires during the so-called Black Summer which ran from November 2019 through to February 2020. Following this period, social, mobility and economic restrictions to curb the spread of the COVID-19 pandemic were implemented in Australia. We quantify the air quality impact of these contrasting periods in the south-eastern states of Victoria and New South Wales (NSW) using a meteorological normalisation approach. A Random Forest (RF) machine learning algorithm was used to compute baseline time seriesÂ of nitrogen dioxide (NO2), ozone (O3), carbon monoxide CO and particulate matter with diameter &lt; 2.5 ?m (PM2.5), based on a 19 year, detrended training dataset. Across Victorian sites, large increases in CO (188%), PM2.5 (322%) and ozone (22%) were observed over the RF prediction in January 2020. In NSW, smaller pollutant increases above the RF prediction were seen (CO 58%, PM2.5 80%, ozone 19%). This can be partly explained by the RF predictions being high compared to the mean of previous months, due to high temperatures and strong wind speeds, highlighting the importance of meteorological normalisation in attributing pollution changes to specific events. From the daily observation-RF prediction differences we estimated 249.8 (95% CI: 156.6Â343.) excess deaths and 3490.0 (95% CI 1325.9Â5653.5) additional hospitalisations were likely as a result of PM2.5 and O3 exposure in Victoria and NSW. During April 2019, when COVID-19 restrictions were in place, on average NO2 decreased by 21.5 and 8% in Victoria and NSW respectively. O3 and PM2.5 remained effectively unchanged in Victoria on average but increased by 20 and 24% in NSW respectively, supporting the suggestion that community mobility reduced more in Victoria than NSW. Overall the air quality change during the COVID-19 lockdown had a negligible impact on the calculated health outcomes. Â© 2021 Elsevier Ltd",Environmental Pollution,10.1016/j.envpol.2021.116498,33,11,No,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,
475,2-s2.0-85099967188,Scopus,2021,Article,"Pu Q., Yoo E.-H.","Department of Geography, The State University of New York at Buffalo, Buffalo, NY, United States",Ground PM2.5 prediction using imputed MAIAC AOD with uncertainty quantification,Aerosol optical depth (AOD); AOD imputation; Fine particulate matter (PM2.5); Machine learning methods; Uncertainty evaluation,"Satellite-derived aerosol optical depth (AOD) has been widely used to predict ground-level fine particulate matter (PM2.5) concentrations, although its utility can be limited due to missing values. Despite recent attempts to address this issue by imputing missing satellite AOD values, the uncertainty associated with the AOD imputation and its impacts on PM2.5 predictions have been understudied. To fill this gap, we developed a missing data imputation model for the AOD derived from the Multi-Angle Implementation of Atmospheric Correction (MAIAC) and PM2.5 prediction models using several machine learning methods. We also examined how the uncertainty associated with the imputed AOD and a choice of machine learning algorithm were propagated to PM2.5 predictions. The application of the proposed imputation model to the data from New York State in the U.S. achieved a superior performance than those related studies, with a cross-validated R2 of 0.94 and a Root Mean Square Error of 0.017. We also found that there was considerable uncertainty in PM2.5 predictions associated with the use of imputed AOD values, although it was not as high as the uncertainty from the machine learning algorithms used in PM2.5 prediction models. We concluded that the quantification of uncertainties for both AOD imputation and its propagation to AOD-based PM2.5 prediction is necessary for accurate and reliable PM2.5 predictions. Â© 2021 Elsevier LtdWe found that non-trivial levels of uncertainty existed in imputed satellite AOD, which was propagated to the uncertainty in AOD-based daily PM2.5 predictions. Â© 2021 Elsevier Ltd",Environmental Pollution,10.1016/j.envpol.2021.116574,33,11,No,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,
506,2-s2.0-85091569527,Scopus,2021,Article,"Petermann E., Meyer H., Nussbaum M., Bossew P.","Federal Office for Radiation Protection (BfS), Section Radon and NORM, Berlin, Germany; WestfÃ¤lische Wilhelms-UniversitÃ¤t MÃ¼nster, Institute of Landscape Ecology, MÃ¼nster, Germany; Bern University of Applied Sciences (BFH), School of Agricultural, Forest and Food Sciences, (HAFL), Zollikofen, Switzerland",Mapping the geogenic radon potential for Germany by machine learning,Digital soil mapping; Geogenic radon potential; Machine learning; Partial dependence; Soil radon; Spatial cross-validation,"The radioactive gas radon (Rn) is considered as an indoor air pollutant due to its detrimental effects on human health. In fact, exposure to Rn belongs to the most important causes for lung cancer after tobacco smoking. The dominant source of indoor Rn is the ground beneath the house. The geogenic Rn potential (GRP) - a function of soil gas Rn concentration and soil gas permeability - quantifies what Âearth delivers in terms of RnÂ and represents a hazard indicator for elevated indoor Rn concentration. In this study, we aim at developing an improved spatial continuous GRP map based on 4448 field measurements of GRP distributed across Germany. We fitted three different machine learning algorithms, multivariate adaptive regression splines, random forest and support vector machines utilizing 36 candidate predictors. Predictor selection, hyperparameter tuning and performance assessment were conducted using a spatial cross-validation where the data was iteratively left out by spatial blocks of 40 km*40 km. This procedure counteracts the effect of spatial auto-correlation in predictor and response data and minimizes dependence of training and test data. The spatial cross-validated performance statistics revealed that random forest provided the most accurate predictions. The predictors selected as informative reflect geology, climate (temperature, precipitation and soil moisture), soil hydraulic, soil physical (field capacity, coarse fraction) and soil chemical properties (potassium and nitrogen concentration). Model interpretation techniques such as predictor importance as well as partial and spatial dependence plots confirmed the hypothesized dominant effect of geology on GRP, but also revealed significant contributions of the other predictors. Partial and spatial dependence plots gave further valuable insight into the quantitative predictor-response relationship and its spatial distribution. A comparison with a previous version of the German GRP map using 1359 independent test data indicates a significantly better performance of the random forest based map. Â© 2020",Science of the Total Environment,10.1016/j.scitotenv.2020.142291,31,11,No,,,,"Germany,Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,
627,2-s2.0-85082876661,Scopus,2020,Article,"Gariazzo C., Carlino G., Silibello C., Renzi M., Finardi S., Pepe N., Radice P., Forastiere F., Michelozzi P., Viegi G., Stafoggia M., BEEP Collaborative Group","Occupational and Environmental Medicine, Epidemiology and Hygiene Department, Italian Workers' Compensation Authority (INAIL), Monte Porzio Catone (RM), Italy; Simularia, Turin, Italy; Arianet, Milan, Italy; Department of Epidemiology, Lazio Regional Health Service, ASL Roma 1, Rome, Italy; Institute of Biomedicine and Molecular Epidemiology ÂAlberto MonroyÂ, National Research Council Palermo, Italy; Environmental Research Group, King's College, London, United Kingdom",A multi-city air pollution population exposure study: Combined use of chemical-transport and random-Forest models with dynamic population data,Dispersion model; Gaseous pollutants; Machine learning; Particulate matter; Population mobility; Urban area,"Cities are severely affected by air pollution. Local emissions and urban structures can produce large spatial heterogeneities. We aim to improve the estimation of NO2, O3, PM2.5 and PM10 concentrations in 6 Italian metropolitan areas, using chemical-transport and machine learning models, and to assess the effect on population exposure by using information on urban population mobility. Three years (2013Â2015) of simulations were performed by the Chemical-Transport Model (CTM) FARM, at 1 km resolution, fed by boundary conditions provided by national-scale simulations, local emission inventories and meteorological fields. A downscaling of daily air pollutants at higher resolution (200 m) was then carried out by means of a machine learning Random-Forest (RF) model, considering CTM and spatial-temporal predictors, such as population, land-use, surface greenness and vehicular traffic, as input. RF achieved mean cross-validation (CV) R2 of 0.59, 0.72, 0.76 and 0.75 for NO2, PM10, PM2.5 and O3, respectively, improving results from CTM alone. Mean concentration fields exhibited clear geographical gradients caused by climate conditions, local emission sources and photochemical processes. Time series of population weighted exposure (PWE) were estimated for two months of the year 2015 and for five cities, by combining population mobility data (derived from mobile phone traffic volumes data), and concentration levels from the RF model. PWE_RF metric better approximated the observed concentrations compared with the predictions from either CTM alone or CTM and RF combined, especially for pollutants exhibiting strong spatial gradients, such as NO2. 50% of the population was estimated to be exposed to NO2 concentrations between 12 and 38 ?g/m3 and PM10 between 20 and 35 ?g/m3. This work supports the potential of machine learning methods in predicting air pollutant levels in urban areas at high spatial and temporal resolutions. Â© 2020 The Authors",Science of the Total Environment,10.1016/j.scitotenv.2020.138102,42,11,No,,,,"Italy,United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,
636,2-s2.0-85067301567,Scopus,2020,Article,"Eslami E., Salman A.K., Choi Y., Sayeed A., Lops Y.","Department of Earth and Atmospheric Sciences, University of Houston, Houston, 77004, United States",A data ensemble approach for real-time air quality forecasting using extremely randomized trees and deep neural networks,Atmospheric chemistry; Extra-trees method; Machine learning; Statistical analysis; Urban air quality,"Six generalized machine learning (ML) ensemble models were developed to predict the real-time hourly ozone concentration of the following day. These models were used to forecast hourly ozone concentrations of the following day for all of 2017 in the city of Seoul, South Korea. To prepare the training dataset, it was referred to observed meteorology and air pollution parameters of the 2014Â2016 period. The ensemble models fuse two regression models: a low-ozone peak model and a high-ozone model. For both, extremely randomized trees and deep neural networks were used. A regularization approach was also adopted that adjusts the model toward capturing higher ozone peaks by resampling the training dataset based on the peaks. Adopting the proposed ML ensemble forecasting method over single-model ML techniques as a part of mainstream practice for air quality forecasting will be beneficial for several reasons. For one, the proposed method, which captures daily maximum ozone concentrations during the high-ozone season (AprilÂSeptember), reduces the ozone peak prediction error by 5 to 30Â ppb. In addition, compared to station-specific (independent) ML models with more frequent low-ozone values, models are trained with a uniformly distributed dataset, so they are more generalizable in nature. As a result, unlike station-specific models, they retain their accuracy (yearly IOA = 0.84Â0.89) in all stations with an IOA increment. Proposed models also make predictions several times faster, requiring only one-time training for predicting an entire station network. Based on a categorical analysis of the training dataset, an algorithm was proposed for selecting the most suitable model for each month. The ÂbestÂ model further improves the accuracy of both the ML ensemble and individual models by up to 2.4%. This study shows that the ML ensemble modeling approach is a fast, reliable, and robust technique that can benefit environmental decision-makers in urban regions. Â© 2019, Springer-Verlag London Ltd., part of Springer Nature.",Neural Computing and Applications,10.1007/s00521-019-04287-6,43,11,Yes,"DNN,ERT",,No,United States,,,,,,,,,,,,,,,,,,,,,,,,,,
666,2-s2.0-85079609813,Scopus,2020,Article,"Gryech I., Ben-Aboud Y., Guermah B., Sbihi N., Ghogho M., Kobbane A.","TICLab Research Laboratory, International University of Rabat, Rabat, 11103, Morocco; ENSIAS, Mohammed V University in Rabat, Rabat, 11103, Morocco; School of IEEE, University of Leeds, Leeds, LS2 9JT, United Kingdom",Moreair: A low-cost urban air pollution monitoring system,Geographical information systems; IoT; Machine Learning; Mobile sensing; Particulate matters; Pollution monitoring; Random forest; SVR; Urban air pollution,"MoreAir is a low-cost and agile urban air pollution monitoring system. This paper describes the methodology used in the development of this system along with some preliminary data analysis results. A key feature of MoreAir is its innovative sensor deployment strategy which is based on mobile and nomadic sensors as well as on medical data collected at a childrenÂs hospital, used to identify urban areas of high prevalence of respiratory diseases. Another key feature is the use of machine learning to perform prediction. In this paper, Moroccan cities are taken as case studies. Using the agile deployment strategy of MoreAir, it is shown that in many Moroccan neighborhoods, road traffic has a smaller impact on the concentrations of particulate matters (PM) than other sources, such as public baths, public ovens, open-air street food vendors and thrift shops. A geographical information system has been developed to provide real-time information to the citizens about the air quality in different neighborhoods and thus raise awareness about urban pollution. Â© 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Sensors (Switzerland),10.3390/s20040998,43,11,No,,,,"Morocco,United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,
676,2-s2.0-85102834557,Scopus,2020,Article,"Ul Islam R., Hossain M.S., Andersson K.","Pervasive and Mobile Computing Laboratory, LuleÃ¥ University of Technology, SkellefteÃ¥, 931 87, Sweden; Department of Computer Science and Engineering, University of Chittagong, Chittagong, 4331, Bangladesh",A deep learning inspired belief rule-based expert system,Expert systems; Knowledge based systems; Learning systems; Multi-layer neural network,"Recent technological advancements in the area of the Internet of Things (IoT) and cloud services, enable the generation of large amounts of raw data. However, the accurate prediction by using this data is considered as challenging for machine learning methods. Deep Learning (DL) methods are widely used to process large amounts of data because they need less preprocessing than traditional machine learning methods. Various types of uncertainty associated with large amounts of raw data hinder the prediction accuracy. Belief Rule-Based Expert Systems (BRBES) are widely used to handle uncertain data. However, due to their incapability of integrating associative memory within the inference procedures, they demonstrate poor accuracy of prediction when large amounts of data is considered. Therefore, we propose the integration of an associative memory based DL method within the BRBES inference procedures, allowing to discover accurate data patterns and hence, the improvement of prediction under uncertainty. To demonstrate the applicability of the proposed method, which is named BRB-DL, it has been fine tuned against two datasets, one in the area of air pollution and the other in the area of power generation. The reliability of the proposed BRB-DL method, has also been compared with other DL methods such as Long-Short Term Memory and Deep Neural Network, and BRBES by taking into account of the air quality dataset from Beijing city and the power generation dataset of a combined cycle power plant. BRB-DL outperforms the above-mentioned methods in terms of prediction accuracy. For example, the Mean Square Error value of BRB-DL is 4.12 whereas for Long-Short Term Memory, Deep Neural Network, Fuzzy Deep Neural Network, Adaptive Neuro Fuzzy Inference System and BRBES it is 18.66, 28.49, 17.05, 16.37 and 38.15 for combined cycle power plant respectively, which are significantly higher. Â© 2020 Institute of Electrical and Electronics Engineers Inc.. All rights reserved.",IEEE Access,10.1109/access.2020.3031438,41,11,No,,,,"Sweden,Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,
695,2-s2.0-85085570385,Scopus,2020,Article,"Zhang D., Woo S.S.","Department of Computer Science, State University of New York (SUNY) Korea, Incheon, 21985, South Korea; Department of Computer Science, Stony Brook University, Stony Brook, NY 11794, United States; Computer Science and Engineering Department, Sungkyunkwan University, Suwon, South Korea; Department of Applied Data Science, Sungkyunkwan University, Suwon, 16419, South Korea",Real Time Localized Air Quality Monitoring and Prediction through Mobile and Fixed IoT Sensing Network,air quality measurement; machine learning; Time-series prediction,"Air pollution and its harm to human health has become a serious problem in many cities around the world. In recent years, research interests in measuring and predicting the quality of air around people has spiked. Since the Internet of Things (IoT) has been widely used in different domains to improve the quality life for people by connecting multiple sensors in different places, it also makes the air pollution monitoring more easier than before. Traditional way of using fixed sensors cannot effectively provide a comprehensive view of air pollution in people's immediate surroundings, since the closest sensors can be possibly miles away. Our research focuses on modeling the air quality pattern in a given region by adopting both fixed and moving IoT sensors, which are placed on vehicles patrolling around the region. With our approach, a full spectrum of how air quality varies in nearby regions can be analyzed. We demonstrate the feasibility of our approach in effectively measuring and predicting air quality using different machine learning algorithms with real world data. Our evaluation shows a promising result for effective air quality monitoring and prediction for a smart city application. Â© 2013 IEEE.",IEEE Access,10.1109/access.2020.2993547,41,11,No,,,,"South Korea,United States",,,,,,,,,,,,,,,,,,,,,,,,,,
722,WOS:000579880200046,WoS,2020,Article,"Jena, Rabindra","[Jena, Rabindra] Inst Management Technol, IT & Analyt, Nagpur, Maharashtra, India",An empirical case study on Indian consumers' sentiment towards electric vehicles: A big data analytics approach,Electric vehicles; Deep learning; Big data; Sentiment analysis; India,"Today, climate change due to global warming is a significant concern to all of us. India's rate of greenhouse gas emissions is increasing day by day, placing India in the top ten emitters in the world. Air pollution is one of the significant contributors to the greenhouse effect. Transportation contributes about 10% of the air pollution in India. The Indian government is taking steps to reduce air pollution by encouraging the use of electric vehicles. But, success depends on consumer's sentiment, perception and understanding towards Electric Vehicles (EV). This case study tried to capture the feeling, attitude, and emotions of Indian consumers' towards electric vehicles. The main objective of this study was to extract opinions valuable to prospective buyers (to know what is best for them), marketers (for determining what features should be advertised) and manufacturers (for deciding what features should be improved) using Deep Learning techniques (e.g Doc2Vec Algorithm, Recurrent Neural Network (RNN), Convolutional Neural Network (CNN)). Due to the very nature of social media data, big data platform was chosen to analyze the sentiment towards EV. Deep Learning based techniques were preferred over traditional machine learning algorithms (Support Vector Machine, Logistic regression and Decision tree, etc.) due to its superior text mining capabilities. Two years data (2016 to 2018) were collected from different social media platform for this case study. The results showed the efficiency of deep learning algorithms and found CNN yield better results in-compare to others. The proposed optimal model will help consumers, designers and manufacturers in their decision-making capabilities to choose, design and manufacture EV.",INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2019.12.012,43,11,No,,,,India,,,,,,,,,,,,,,,,,,,,,,,,,,
734,WOS:000606417000001,WoS,2021,Article,"Gao, Hao; Yang, Weixin; Wang, Jiawei; Zheng, Xiaoyun","[Gao, Hao; Yang, Weixin; Wang, Jiawei] Univ Shanghai Sci & Technol, Business Sch, Shanghai 200093, Peoples R China; [Zheng, Xiaoyun] Tongji Univ, Tongji Univ Lib, Dept Reference Serv, Shanghai 200092, Peoples R China",Analysis of the Effectiveness of Air Pollution Control Policies Based on Historical Evaluation and Deep Learning Forecast: A Case Study of Chengdu-Chongqing Region in China,air pollution control; historical evaluation; deep learning; forecast; Chengdu-Chongqing region of China,"Air pollution is a common problem for many countries around the world in the process of industrialization as well as a challenge to sustainable development. This paper has selected Chengdu-Chongqing region of China as the research object, which suffers from severe air pollution and has been actively involved in air pollution control in recent years to achieve sustainable development. Based on the historical data of 16 cities in this region from January 2015 to November 2019 on six major air pollutants, this paper has first conducted evaluation on the monthly air quality of these cities within the research period by using Principal Component Analysis and the Technique for Order Preference by Similarity to an Ideal Solution. Based on that, this paper has adopted the Long Short-Term Memory neural network model in deep learning to forecast the monthly air quality of various cities from December 2019 to November 2020. The aims of this paper are to enrich existing literature on air pollution control, and provide a novel scientific tool for design and formulation of air pollution control policies by innovatively integrating commonly used evaluation models and deep learning forecast methods. According to the research results, in terms of historical evaluation, the air quality of cities in the Chengdu-Chongqing region was generally moving in the same trend in the research period, with distinct characteristics of cyclicity and convergence. Year- on-year speaking, the effectiveness of air pollution control in various cities has shown a visible improvement trend. For example, Ya'an's lowest air quality evaluation score has improved from 0.3494 in 2015 to 0.4504 in 2019; Zigong's lowest air quality score has also risen from 0.4160 in 2015 to 0.6429 in 2019. Based on the above historical evaluation and deep learning forecast results, this paper has proposed relevant policy recommendations for air pollution control in the Chengdu-Chongqing region.",SUSTAINABILITY,10.3390/su13010206,31,11,No,,,,Peoples R China,,,,,,,,,,,,,,,,,,,,,,,,,,
786,WOS:000636424700001,WoS,2021,Article,"Nath, Pritthijit; Saha, Pratik; Middya, Asif Iqbal; Roy, Sarbani","[Nath, Pritthijit; Middya, Asif Iqbal; Roy, Sarbani] Jadavpur Univ, Dept Comp Sci & Engn, Kolkata, India; [Saha, Pratik] SRM Univ, Dept Comp Sci, Chennai, Tamil Nadu, India",Long-term time-series pollution forecast using statistical and deep learning methods,Time-series analysis; Air pollution; Statistical models; Deep learning; Long-term forecast,"Tackling air pollution has become of utmost importance since the last few decades. Different statistical as well as deep learning methods have been proposed till now, but seldom those have been used to forecast future long-term pollution trends. Forecasting long-term pollution trends into the future is highly important for government bodies around the globe as they help in the framing of efficient environmental policies. This paper presents a comparative study of various statistical and deep learning methods to forecast long-term pollution trends for the two most important categories of particulate matter (PM) which are PM2.5 and PM10. The study is based on Kolkata, a major city on the eastern side of India. The historical pollution data collected from government set-up monitoring stations in Kolkata are used to analyse the underlying patterns with the help of various time-series analysis techniques, which is then used to produce a forecast for the next two years using different statistical and deep learning methods. The findings reflect that statistical methods such as auto-regressive (AR), seasonal auto-regressive integrated moving average (SARIMA) and Holt-Winters outperform deep learning methods such as stacked, bi-directional, auto-encoder and convolution long short-term memory networks based on the limited data available.",NEURAL COMPUTING & APPLICATIONS,10.1007/s00521-021-05901-2,31,11,Yes,"AR,ARIMA,PFM,LSTM,STLSTM",,No,India,,,,,,,,,,,,,,,,,,,,,,,,,,
