,ID,Source,date,art_type,authors,title,keywords,abstract,affiliations,publisher,doi,citations,Citations per year,Include,ML/DL techniques,Country,Spatial,Index analysed,Output produced,Variables,source,Spatial resolution,Time resolution,Comments,Accuracy,Feature selection,FS Comments,Optimization,Optimization comments,Transformation,Transformation comments,Decomposition,Decomposition comments,Outlier removal,OR comments,Gap fill,GF comments
78,2-s2.0-85131069005,Scopus,2022,Review,Adilkhanova I.; Ngarambe J.; Yun G.Y.,Recent advances in black box and white-box models for urban heat island prediction: Implications of fusing the two methods,Black-box models; Machine learning; Physical-based modelling; The fusion of white box and black box models; UHI; White-box models,"The urban heat island (UHI) phenomenon is a serious concern for urban planners and policymakers, requiring effective and efficient mitigation policies. To develop such policies, accurate and pre-emptive estimations of current and future UHI manifestations are vital elements that help determine efficient policies and mitigation techniques. There are two fundamental approaches for modelling overheating in an urban environment: white-box and black-box based methods. The first one is characterized by the easily interpretable working process, while the unclear working procedure defines the second one. The present study comprehensively reviews the commonly used white-box and black-box based approaches applied for UHI predictions, analyses the existing literature adopting these tools for UHI prediction, and discusses the effectiveness of fusing both methods at the design and operation stages of the urban area for effective prediction and mitigation of UHI effect. The literature analysis showed that the transparent working process and high prediction accuracy of the physical-based white-box models make them a popular and reliable tool for UHI evaluation. Nevertheless, some white-box based simulation tools are too complex and require a high level of expertise to operate, leading to potential inaccuracies in the obtained outcomes. Black-box models, in turn, despite their opaque working process, are more straightforward in use and require less computation time. The fusion of these two methods is a novel approach that may benefit both UHI prediction and mitigation at the design and operation stages, respectively. © 2022 Elsevier Ltd","Department of Architectural Engineering, Kyung Hee University, 1732, Deogyeong-daero, Giheung-gu, Yongin-si, 17104, Gyeonggi-do, South Korea",Renewable and Sustainable Energy Reviews,10.1016/j.rser.2022.112520,14,7,"No, review",,South Korea,,,,,,,,,,,,,,,,,,,,,
91,2-s2.0-85164224574,Scopus,2023,Article,Shao L.; Liao W.; Li P.; Luo M.; Xiong X.; Liu X.,"Drivers of global surface urban heat islands: Surface property, climate background, and 2D/3D urban morphologies",Climate background; Surface property; Urban heat island; Urban morphology,"Local climate of the city is modulated by not only land surface properties and climate background but also urban morphology. While the modulations of the former two have been extensively studied, there is still a lack of understanding of the importance of urban morphology, especially the three-dimensional (3D) morphology at a global scale. Here we examine the surface urban heat island (SUHI) intensities in 688 urban agglomerations worldwide and explore their driving factors in terms of surface properties, climate background, and 2D/3D urban morphologies, by using stepwise multiple linear regression and interpretable machine learning method. The results show that the interpretable machine learning method performs better in modeling SUHIs than traditional linear regression. Notably, urban morphologies, particularly its 3D pattern, have significant impacts on SUHIs. The overall contribution of urban morphology is comparable to that of surface property, and even surpasses the latter during the daytime in autumn and winter. Specifically, increased urban patch size or higher urban density can significantly amplify the SUHI intensities, while urban expansion characterized by scattered or multi-centered development exhibits the potential in mitigating SUHIs. In terms of 3D urban morphology, building height emerges as a crucial factor in shaping SUHIs. A rougher urban surface characterized by high-rise buildings can yield a cooling effect during the daytime while exacerbating the warming effect at night. Overall, our research provides valuable insights into the role of urban morphology in shaping SUHIs, offering guidance for urban planning strategies that promote sustainable and resilient cities. © 2023 Elsevier Ltd","School of Geography and Planning, Guangdong Key Laboratory for Urbanization and Geo-simulation, Sun Yat-sen University, Guangzhou, 510006, China; Tianhe District Branch of Guangzhou Municipal Planning and Natural Resources Bureau, Guangzhou, 510000, China; Institute of Environment, Energy and Sustainability, The Chinese University of Hong Kong, Hong Kong; Guangdong Provincial Academy of Environmental Science, Guangzhou, 510045, China; Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai), Zhuhai, 519082, China",Building and Environment,10.1016/j.buildenv.2023.110581,7,7,No,,"China,Hong Kong",,,,,,,,,,,,,,,,,,,,,
27,2-s2.0-85113841560,Scopus,2021,Article,"Jagannathan J., Divya C.",Deep learning for the prediction and classification of land use and land cover changes using deep convolutional neural network,Changes; Classification; Decoding; Encoding; HEVGG; Land cover; Land use; Prediction; Satellite,"The importance of timely and accurate information about the land resources and the natural resources increased rapidly. Due to the impact of urbanization, the we face hasty climatic change. To mitigate the urban heat island in the developed and developing cities, a very accurate land cover classification has to be developed. Through which we can identify the changes in build-up areas, water bodies and vegetation index. In this paper, a hybrid hot encoding VGG19 deep learning method has been proposed. And a transfer learning method has been used to transfer the training data trained by the RestNet50 method to the proposed HGVGG19 method. The satellite images and aerial images are collected from various sources and classified based on the features. And the image dataset has been pre-processed using the image augmentation technique. Through which the image has been resized and processed for training it with the proposed mode. The categorical data cannot be processed directly, so we use one hot encoding method to find the borders of the class. Then the data has been trained using VGG19 method. Then using the MLR classifier we classify the images and using decision tree the class prediction has been predicted. After testing the model an accuracy of 98.5% has been achieved. Using the proposed algorithm, the analysis has been made with the historical images of many regions. And eight different class values have been obtained and stored as the textual data. Using the data, the land cover changes and the prediction of the land cover has been obtained with an accuracy of 98.5%. Â© 2021","Centre for Information Technology and Engineering, Manonmaniam Sundaranar University, Abishekapatti, Tirunelveli, India",Ecological Informatics,10.1016/j.ecoinf.2021.101412,18,6,No,,India,,,,,,,,,,,,,,,,,,,,,
59,2-s2.0-85091737681,Scopus,2020,Article,Vulova S.; Meier F.; Fenner D.; Nouri H.; Kleinschmit B.,"Summer Nights in Berlin, Germany: Modeling Air Temperature Spatially with Remote Sensing, Crowdsourced Weather Data, and Machine Learning",Air temperature; albedo; citizen weather stations (CWS); crowdsourcing; Landsat; urban climate; urban heat island (UHI); volunteered geographic information,"Urban areas tend to be warmer than their rural surroundings, well-known as the 'urban heat island' effect. Higher nocturnal air temperature (Tair) is associated with adverse effects on human health, higher mortality rates, and higher energy consumption. Prediction of the spatial distribution of Tair is a step toward the 'Smart City' concept, providing an early warning system for vulnerable populations. The study of the spatial distribution of urban Tair was thus far limited by the low spatial resolution of traditional data sources. Volunteered geographic information provides alternative data with higher spatial density, with citizen weather stations monitoring Tair continuously in hundreds or thousands of locations within a single city. In this article, the aim was to predict the spatial distribution of nocturnal Tair in Berlin, Germany, one day in advance at a 30-m resolution using open-source remote sensing and geodata from Landsat and Urban Atlas, crowdsourced Tair data, and machine learning (ML) methods. Results were tested with a 'leave-one-date-out' training scheme (testingcrowd) and reference Tair data (testingref). Three ML algorithms were compared - Random Forest (RF), Stochastic Gradient Boosting, and Model Averaged Neural Network. The optimal model based on accuracy and computational speed is RF, with an average root mean square error (RMSE) for testingcrowd of 1.16 °C (R2 = 0.512) and RMSE for testingref of 1.97 °C (R2 = 0.581). Overall, the most important geographic information system (GIS) predictors were morphometric parameters and albedo. The proposed method relies on open-source datasets and can, therefore, be adapted to many cities worldwide. © 2008-2012 IEEE.","Geoinformation in Environmental Planning Lab, Technische Universität Berlin, Berlin, 10623, Germany; Institute of Ecology, Technische Universität Berlin, Berlin, 12165, Germany; Division of Agronomy, University of Göttingen, Göttingen, 37075, Germany",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/jstars.2020.3019696,24,6,No,,Germany,,,,,,,,,,,,,,,,,,,,,
115,WOS:001114288300001,WoS,2023,Article,"Choudhury, Upasana; Singh, Suraj Kumar; Kumar, Anand; Meraj, Gowhar; Kumar, Pankaj; Kanga, Shruti","Assessing Land Use/Land Cover Changes and Urban Heat Island Intensification: A Case Study of Kamrup Metropolitan District, Northeast India (2000-2032)",cellular automata-artificial neural network; LST; LULC; NDVI; NDBI; maximum likelihood algorithm,"Amid global concerns regarding climate change and urbanization, understanding the interplay between land use/land cover (LULC) changes, the urban heat island (UHI) effect, and land surface temperatures (LST) is paramount. This study provides an in-depth exploration of these relationships in the context of the Kamrup Metropolitan District, Northeast India, over a period of 22 years (2000-2022) and forecasts the potential implications up to 2032. Employing a high-accuracy supervised machine learning algorithm for LULC analysis, significant transformations are revealed, including the considerable growth in urban built-up areas and the corresponding decline in cultivated land. Concurrently, a progressive rise in LST is observed, underlining the escalating UHI effect. This association is further substantiated through correlation studies involving the normalized difference built-up index (NDBI) and the normalized difference vegetation index (NDVI). The study further leverages the cellular automata-artificial neural network (CA-ANN) model to project the potential scenario in 2032, indicating a predicted intensification in LST, especially in regions undergoing rapid urban expansion. The findings underscore the environmental implications of unchecked urban growth, such as rising temperatures and the intensification of UHI effects. Consequently, this research stresses the critical need for sustainable land management and urban planning strategies, as well as proactive measures to mitigate adverse environmental changes. The results serve as a vital resource for policymakers, urban planners, and environmental scientists working towards harmonizing urban growth with environmental sustainability in the face of escalating global climate change.","[Choudhury, Upasana; Kumar, Anand] Suresh Gyan Vihar Univ, Ctr Climate Change & Water Res, Jaipur 302017, India; [Singh, Suraj Kumar] Suresh Gyan Vihar Univ, Ctr Sustainable Dev, Jaipur 302017, India; [Meraj, Gowhar] Univ Tokyo, Grad Sch Agr & Life Sci, Tokyo 1138654, Japan; [Kumar, Pankaj] Inst Global Environm Strategies, Hayama 2400115, Japan; [Kanga, Shruti] Cent Univ Punjab, Sch Environm & Earth Sci, Dept Geog, Bathinda 151401, Punjab, India",EARTH,10.3390/earth4030026,6,6,Yes,ANN,"India,Japan",Yes,UHI,UHI forecast,"LULC
LST
NDVI
Proportion Vegetation
Surface emissivity",Landsat 8/Landsat 5 (all),30m,3 images,"Used LULC and LST. The LST is forecasted and the correspondent UHI is derived.
There is no validation of the forecast, only wrt a MOLUSCE plugin forecast which shouldn't be considered as ground truth.",Kappa,No,,Yes,Cellular automata,,,,,,,,
30,2-s2.0-85112567060,Scopus,2021,Article,"Hassan T., Zhang J., Prodhan F.A., Pangali Sharma T.P., Bashir B.",Surface urban heat islands dynamics in response to lulc and vegetation across south asia (2000â2019),Land surface temperature; Land use land cover; Normalized difference vegetation index; Surface urban heat island; Urbanization,"Urbanization is an increasing phenomenon around the world, causing many adverse effects in urban areas. Urban heat island is are of the most well-known phenomena. In the present study, surface urban heat islands (SUHI) were studied for seven megacities of the South Asian countries from 2000â2019. The urban thermal environment and relationship between land surface temperature (LST), land use landcover (LULC) and vegetation were examined. The connection was explored with remote-sensing indices such as urban thermal field variance (UTFVI), surface urban heat island intensity (SUHII) and normal difference vegetation index (NDVI). LULC maps are classified using a CART machine learning classifier, and an accuracy table was generated. The LULC change matrix shows that the vegetated areas of all the cities decreased with an increase in the urban areas during the 20 years. The average LST in the rural areas is increasing compared to the urban core, and the difference is in the range of 1â2 (C). The SUHII linear trend is increasing in Delhi, Karachi, Kathmandu, and Thimphu, while decreasing in Colombo, Dhaka, and Kabul from 2000â2019. UTFVI has shown the poor ecological conditions in all urban buffers due to high LST and urban infrastructures. In addition, a strong negative correlation between LST and NDVI can be seen in a range of -0.1 to -0.6. Â© 2021 by the authors.","Key Laboratory of Digital Earth Sciences, Aerospace Information Research Institute (AIR), Chinese Academy of Sciences (CAS), Beijing, 100094, China; University of Chinese Academy of Sciences, Beijing, 100049, China; Department of Agricultural Extension and Rural Development, Bangabandhu Sheikh Mujibur Rahman Agricultural University, Gazipur, 1706, Bangladesh; State Key Laboratory of Remote Sensing Science, Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100101, China",Remote Sensing,10.3390/rs13163177,14,5,No,,"China,Bangladesh",,,,,,,,,,,,,,,,,,,,,
38,WOS:000559113500001,WoS,2020,Article,"Alonso, Lucille; Renard, Florent",A New Approach for Understanding Urban Microclimate by Integrating Complementary Predictors at Different Scales in Regression and Machine Learning Models,air temperature; surface temperature; LiDAR; multiple linear regression; Landsat 8; urban heat island,"Climate change is a major contemporary phenomenon with multiple consequences. In urban areas, it exacerbates the urban heat island phenomenon. It impacts the health of the inhabitants and the sensation of thermal discomfort felt in urban areas. Thus, it is necessary to estimate as well as possible the air temperature at any point of a territory, in particular in view of the ongoing rationalization of the network of fixed meteorological stations of Meteo-France. Understanding the air temperature is increasingly in demand to input quantitative models related to a wide range of fields, such as hydrology, ecology, or climate change studies. This study thus proposes to model air temperature, measured during four mobile campaigns carried out during the summer months, between 2016 and 2019, in Lyon (France), in clear sky weather, using regression models based on 33 explanatory variables from traditionally used data, data from remote sensing by LiDAR (Light Detection and Ranging), or Landsat 8 satellite acquisition. Three types of statistical regression were experimented: partial least square regression, multiple linear regression, and a machine learning method, the random forest regression. For example, for the day of 30 August 2016, multiple linear regression explained 89% of the variance for the study days, with a root mean square error (RMSE) of only 0.23 degrees C. Variables such as surface temperature, Normalized Difference Vegetation Index (NDVI), and Modified Normalized Difference Water Index (MNDWI) have a strong impact on the estimation model. This study contributes to the emergence of urban cooling systems. The solutions available vary. For example, they may include increasing the proportion of vegetation on the ground, facades, or roofs, increasing the number of basins and water bodies to promote urban cooling, choosing water-retaining materials, humidifying the pavement, increasing the number of public fountains and foggers, or creating shade with stretched canvas.","[Alonso, Lucille; Renard, Florent] Univ Jean Moulin Lyon 3, UMR CNRS 5600 Environm City & Soc, Dept Geog & Spatial Planning, F-69007 Lyon, France",REMOTE SENSING,10.3390/rs12152434,17,5,Yes,"RFR,LR",France,No,,,,,,,,,,,,,,,,,,,,
39,2-s2.0-85132744810,Scopus,2022,Article,"Chen G., Shi Y., Wang R., Ren C., Ng E., Fang X., Ren Z.",Integrating weather observations and local-climate-zone-based landscape patterns for regional hourly air temperature mapping using machine learning,High spatial resolution; Hourly air temperature mapping; Local climate zone; Machine learning,"Air temperature is a crucial variable of urban meteorology and is essential to many urban environments, urban climate and climate-change-related studies. However, due to the limited observational records of air temperature and the complex urban morphology and environment, it might not be easy to map the hourly air temperature with a fine resolution at the surface level within and around cities via conventional methods. Thus, this study employed machine learning (ML) algorithms and meteorological and landscape data to develop hourly air temperature mapping techniques and methods at the 1-km resolution over a multi-year warm seasons period. Guangdong Province, China was selected for the case study. Random forest algorithm was employed for the hourly air temperature mapping. The validation results showed that the hourly air temperature maps exhibit good accuracy from 2008 to 2019, with mean R2, root mean square error (RMSE) and mean absolute error (MAE) values of 0.8001, 1.4821 Â°C and 1.0872 Â°C, respectively. The importance assessment of the driving factors showed that meteorological factors, especially relative humidity, contributed the most to the air temperature mapping. Simultaneously, landscape factors also played a non-negligible role. Further analysis revealed that the maps steadily maintained high accuracy at nighttime (20:00â7:00), which is essential for investigating nighttime urban climate conditions, especially the urban heat island effect. Moreover, a correlation existed between the nighttime air temperature changes and urban morphology represented by the local climate zones. Air temperatures tended to fall more slowly in the core of metropolitan areas than in the urban fringe. Using ML, this study reliably improves the spatial refinement of hourly air temperature mapping and reveals the spatially explicit air temperature patterns in and around cities at different times in a day during the warm seasons. Moreover, it provides a novel valuable and reliable dataset for air-temperature-related implementation and studies. Â© 2022","Institute of Future Cities (IOFC), The Chinese University of Hong Kong, Hong Kong; Department of Geography & Planning, University of Liverpool, Liverpool, United Kingdom; Nankai University, China; Division of Landscape Architecture, Department of Architecture, Faculty of Architecture, The University of Hong Kong, Hong Kong; School of Architecture, The Chinese University of Hong Kong, Hong Kong; Chinese Academy of Meteorological Sciences, China; National Meteorological Information Center, China",Science of the Total Environment,10.1016/j.scitotenv.2022.156737,10,5,Yes,RFR,"Hong Kong,United Kingdom,China",Yes,Air temperature and local climate zones,hourly air temperature mapping,"Meteorological data (relative humidity (RHU), precipitation (PRE), barometric pressure (PRS) and wind speed (VV2))
 Local Climate Zones (LCZ), 21 categories using GEE.
 Elevation, for LCZ production","China Meteorological Administration
 Produced. Using Landsat 8, 5, sentinel 1, 2, VIIRS, DMSP OLS.
 GMTED2010",point,hourly,,"TEMPERATURE: mean R2, root mean square error (RMSE) and mean absolute error (MAE) values of 0.8001, 1.4821 Â°C and 1.0872 Â°C.
 LCZ: Overall accuracy of the LCZ maps reached 61.64 % and that of the Kappa coefficient reached 0.594",,,,,,,,,,,,
41,2-s2.0-85084434196,Scopus,2020,Article,"Grunwald L., Schneider A.-K., SchrÃ¶der B., Weber S.",Predicting urban cold-air paths using boosted regression trees,,"Ensuring the transport of colder air masses from rural surroundings or inner urban open spaces into the dense urban center is a vital approach for reducing nocturnal warming of urban areas in summer, i.e. the urban heat island (UHI) effect. Hence, cold-air paths are an important mitigation aspect in urban planning. The identification of cold-air paths by field measurements, however, is time-consuming and it is difficult to cover larger spatial domains (e.g. entire cities). Therefore, we used a machine learning technique, boosted regression trees (BRT), for estimating the spatial distribution of cold-air paths in three German cities (Braunschweig, Freiburg, Stuttgart). We identified the most important predictor variables for cold-air path occurrence and tested the spatial transferability of BRT models from one training city to the other study cities. Three variables explaining differences in surface elevation indicated strongest influence on spatial distribution of cold-air paths: relative surface elevation, topographic position index, and topographic wind index. We achieved predictions for the spatial distribution of cold-air paths for cities the model was trained on, resulting in model performances of 0.85 < AUC < 0.96 (AUC: area under the receiver operating characteristic curve). Model transfers to other cities, however, achieved only poor to moderate results (0.5 < AUC < 0.8). The city of Freiburg tended to be the most suitable basis for a general model, since it covers the largest range of conditions. Transfer works best for âsimilarâ cities, i.e. cities with a comparable range of predictor variables and morphological structure. Cold-air path identification via BRT modelling appeared to be a promising method delivering helpful information for urban planning. Â© 2020 Elsevier B.V.","Climatology and Environmental Meteorology, Institute of Geoecology, Technische UniversitÃ¤t Braunschweig, Langer Kamp 19c, Braunschweig, 38106, Germany; Landscape Ecology and Environmental Systems Analysis, Institute of Geoecology, Technische UniversitÃ¤t Braunschweig, Langer Kamp 19c, Braunschweig, 38106, Germany; Berlin-Brandenburg Institute of Advanced Biodiversity Research, AltensteinstraÃe 614195 Berlin14195 Berlin, Germany",Landscape and Urban Planning,10.1016/j.landurbplan.2020.103843,18,5,No,,Germany,,,,,,,,,,,,,,,,,,,,,
43,2-s2.0-85090559087,Scopus,2020,Article,"Choe Y.-J., Yom J.-H.",Improving accuracy of land surface temperature prediction model based on deep-learning,AWS; Deep multi-layer perceptron; Downscaling; Feature engineering; Land surface temperature,"Land surface temperature (LST) data is essential for urban engineering as well as modeling the atmospheric phenomena. Such modeling efforts require accurate temperature prediction which is then used for predicting other meteorological phenomena such as urban heat island and fine dust air pollution. The automatic weather system (AWS) provides accurate temperature with high frequency but it cannot grasp spatially continuous distribution in detail because it is collected only at specific points. On the contrary, the LST data obtained from satellite imagery has a high spatial resolution and spatially continuous temperature can be grasped, but it is difficult to get high temporal frequency temperature data because of its revisit time. In this study, to solve this spatio-temporal tradeoff problem, a deep-learning method was used to create a spatially continuous temperature image using AWS data with a spatial resolution of 30Â m. The seasonal temperature was predicted with accuracy of 3.6Â Â°C for spring, 1.9Â Â°C for summer, 3Â Â°C for fall, and 1.4Â Â°C for winter. The predicted temperature accuracy for spatial resolution of 30Â m is better than other reported interpolation methods. In order to improve the prediction accuracy of the model, fine tuning procedures were applied to the deep learning model hyper parameters as well as the input feature data. Â© 2019, Korean Spatial Information Society.","Department of Environment, Energy and Geoinfomatics, Sejong University, Seoul, South Korea",Spatial Information Research,10.1007/s41324-019-00299-5,20,5,No,,South Korea,,,,,,,,,,,,,,,,,,,,,
47,WOS:000786201700001,WoS,2022,Article,"Cetin, Zehra; Yastikli, Naci",The Use of Machine Learning Algorithms in Urban Tree Species Classification,machine learning; classification; LiDAR; 3D point cloud; urban trees,"Trees are the key components of urban vegetation in cities. The timely and accurate identification of existing urban tree species with their location is the most important task for improving air, water, and land quality; reducing carbon accumulation; mitigating urban heat island effects; and protecting soil and water balance. Light detection and ranging (LiDAR) is frequently used for extracting high-resolution structural information regarding tree objects. LiDAR systems are a cost-effective alternative to the traditional ways of identifying tree species, such as field surveys and aerial photograph interpretation. The aim of this work was to assess the usage of machine learning algorithms for classifying the deciduous (broadleaf) and coniferous tree species from 3D raw LiDAR data on the Davutpasa Campus of Yildiz Technical University, Istanbul, Turkey. First, ground, building, and low, medium, and high vegetation classes were acquired from raw LiDAR data using a hierarchical-rule-based classification method. Next, individual tree crowns were segmented using a mean shift clustering algorithm from high vegetation points. A total of 25 spatial- and intensity-based features were utilized for support vector machine (SVM), random forest (RF), and multi-layer perceptron (MLP) classifiers to discriminate deciduous and coniferous tree species in the urban area. The machine learning-based classification's overall accuracies were 80%, 83.75%, and 73.75% for the SVM, RF, and MLP classifiers, respectively, in split 70/30 (training/testing). The SVM and RF algorithms generally gave better classification results than the MLP algorithm for identifying the urban tree species.","[Cetin, Zehra; Yastikli, Naci] Yildiz Tech Univ, Fac Civil Engn, Dept Geomat Engn, Davutpasa Campus, TR-34220 Istanbul, Turkey",ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,10.3390/ijgi11040226,9,5,No,,Turkey,,,,,,,,,,,,,,,,,,,,,
58,2-s2.0-85113581987,Scopus,2021,Review,Shi H.; Xian G.; Auch R.; Gallo K.; Zhou Q.,Urban heat island and its regional impacts using remotely sensed thermal data—a review of recent developments and methodology,Non-urban areas; Remote sensing; Thermal band; UHI intensity; UHI regional impacts; Urban heat island,"Many novel research algorithms have been developed to analyze urban heat island (UHI) and UHI regional impacts (UHIRIP) with remotely sensed thermal data tables. We present a comprehensive review of some important aspects of UHI and UHIRIP studies that use remotely sensed thermal data, including concepts, datasets, methodologies, and applications. We focus on reviewing progress on multi-sensor image selection, preprocessing, computing, gap filling, image fusion, deep learning, and developing new metrics. This literature review shows that new satellite sensors and valuable methods have been developed for calculating land surface temperature (LST) and UHI intensity, and for assessing UHIRIP. Additionally, some of the limitations of using remotely sensed data to analyze the LST, UHI, and UHI intensity are discussed. Finally, we review a variety of applications in UHI and UHIRIP analyses. The assimilation of time-series remotely sensed data with the application of data fusion, gap filling models, and deep learning using the Google Cloud platform and Google Earth Engine platform also has the potential to improve the estimation accuracy of change patterns of UHI and UHIRIP over long time periods. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","ASRC Federal Data Solutions (AFDS), Contractor to the U.S. Geological Survey (USGS) Earth Resources Observation and Science (EROS) Center, Sioux Falls, 57198, SD, United States; U.S. Geological Survey (USGS) Earth Resources Observation and Science (EROS) Center, Sioux Falls, 57198, SD, United States; Center for Satellite Applications and Research, National Oceanic and Atmospheric Administration (NOAA)/NESDIS, College Park, 20740, MD, United States",Land,10.3390/land10080867,14,5,"No, review",,United States,,,,,,,,,,,,,,,,,,,,,
71,2-s2.0-85160656534,Scopus,2023,Article,Boccalatte A.; Fossa M.; Thebault M.; Ramousse J.; Ménézo C.,Mapping the urban heat Island at the territory scale: An unsupervised learning approach for urban planning applied to the Canton of Geneva,GIS-data; Local climate zones; Urban clustering; Urban heat island; Urban microclimate,"This study presents a fully reproducible clustering-based methodology for the assessment of the urban heat island intensity (UHII) at the territory scale, using parametric microclimate models and limited computational resources. In large-scale climate modeling, a common preliminary operation is to utilize the well-established Local Climate Zone classification to characterize the thermal response of urban areas based on morphology. With the increasing availability of urban datasets, data-driven approaches can be implemented to quantitatively derive meaningful urban features without relying on a standardized classification. The proposed methodology employs a Gaussian Mixture Model clustering algorithm to partition the urban territory into a suitable number of homogeneous microclimate zones, enabling the calculation and mapping of the UHII for each zone through the Urban Weather Generator (UWG) tool. The developed approach is applied to the Canton of Geneva, Switzerland, identifying ten microclimatic areas and analyzing the spatiotemporal variation of UHII. Results show yearly average values of UHII ranging from 1.7 °C to 2.2 °C, depending on urban morphology. The simulated values are partially validated by comparison with on-site measurements from two urban weather stations, yielding a satisfactory agreement. The methodology can support urban planning with the goal of avoid overheating through a large-scale mapping. © 2023","LOCIE, Université Savoie Mont Blanc, CNRS, UMR5271, Le Bourget du Lac, F-73376, France; DIME - Department of Mechanical, Energy, Management and Transportation Engineering, University of Genova, Italy",Sustainable Cities and Society,10.1016/j.scs.2023.104677,5,5,Yes,GMM,"France,Italy",Yes,UHII,UHII model simulation,"Average building height
Urban area building plan density: ratio between built and un-built area
Vertical to horizontal ratio: ratio between façade area and plan area of the site
Vegetation
Grass coverage: fraction of the urban ground covered in grass/shrubs
Tree coverage: fraction of the urban ground covered in trees
Human activity levels
Non-building sensible heat at street level: heat from cars, pedestrians, street cooking, etc.
Building characteristics
Thermal resistance of walls
Thermal resistance of roof
Thermal transmittance of windows
Building infiltration rate",,,,The study is focused on clustering the city wrt its characteristics and then compute the UHII in the clusters. The temperature is the output of a model simulation and partially validated with in-situ data., ,,,,,,,,,,,,
6,2-s2.0-85129733765,Scopus,2022,Article,"Li M., Yang Q., Yuan Q., Zhu L.",Estimation of high spatial resolution ground-level ozone concentrations based on Landsat 8 TIR bands with deep forest model,Deep forest; Ground-level O3; High spatial resolution; Thermal infrared,"In recent years, China has been facing severe ozone (O3) pollution, which poses a remarkable threat to human health. Most estimation methods only provide ozone products at a relatively coarse resolution, such as 5 km, but high-resolution ozone data are essential for ozone pollution prevention and control. To this end, we proposed a new framework for estimating ozone concentrations at 300 m resolution in China based on Landsat 8 infrared (IR) bands and meteorological data using a deep forest (DF) model. DF combines the excellent performance of tree integration with the expressive power of hierarchical distributed representations of neural networks. The accuracy and mapping results of DF are considerably better than some widely used machine learning methods (generalized regression neural regression network and random forest). The sample-based cross-validation (CV), station-based CV, time-based CV, and extrapolation validation show that the estimations of DF are in high agreement with the station observations with determination coefficient values of 0.938, 0.926, 0.687, and 0.660, respectively. The proposed method was used to analyze the spatial and temporal ozone variations at fine scales in three typical Chinese cities (Beijing, Wuhan and Guangzhou), where the mean ozone concentrations during the polluted season are consistent with the land use and urban heat island distribution. The rationality of ozone estimates was verified, and the advantages of high-resolution mapping was demonstrated by comparing the monitoring data from municipal controlling stations in Beijing, 10 km ozone products, and satellite images. Our product can represent spatial details and locate local pollution sources, such as temples. The proposed method has important implications for the fine-scale monitoring of ozone pollution. Â© 2022 Elsevier Ltd","School of Geodesy and Geomatics, Wuhan University, Hubei, Wuhan, 430079, China; The Key Laboratory of Geospace Environment and Geodesy, Ministry of Education, Wuhan University, Hubei, Wuhan, 430079, China; School of Atmospheric Sciences and Key Laboratory of Tropical Atmosphere-Ocean System, Sun Yat-sen University, Ministry of Education and Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai), Guangdong, Zhuhai, 519082, China",Chemosphere,10.1016/j.chemosphere.2022.134817,8,4,No,,China,,,,,,,,,,,,,,,,,,,,,
10,2-s2.0-85123796151,Scopus,2022,Article,"Qian J., Meng Q., Zhang L., Hu D., Hu X., Liu W.",Improved anthropogenic heat flux model for fine spatiotemporal information in Southeast China,Anthropogenic heat; Machine learning; Model improvement; Spatiotemporal estimation,"Anthropogenic heat emission (AHE) is an important driver of urban heat islands (UHIs). Further, both urban thermal environment research and sustainable development planning require an efficient estimation of anthropogenic heat flux (AHF). Therefore, this study proposed an improved multi-source AHF model, which was constructed using diverse data sources and small-scale samples, to better represent the spatiotemporal distribution of AHF. The performances of three machine learning algorithms (Cubist, gradient boosting decision tree, and simple linear regression) were quantitatively evaluated, and the impact of spatiotemporal heterogeneity on AHF estimation was considered for the first time. The results showed that multi-source datasets and sophisticated algorithms could more effectively reduce the estimation error and improve the accuracy of the spatiotemporal distribution of AHF than simple linear regression. In practical applications, the Cubist model performed better, with prediction errors being less than 0.9 Wâmâ2. Further, the characteristics of different heat sources from the model outputs varied widely, and the building metabolic heat exhibited significant seasonal spatiotemporal variations, which were largely determined by the regional climate. In contrast, industrial and transportation heat showed marginal monthly fluctuations. Similarly, spatiotemporal heterogeneity significantly affected the estimation of building metabolic heat (0.62 Wâmâ2), but it did not affect other heat sources. The proposed improved AHF model was verified to effectively capture the spatiotemporal variations of building heat and solve the issue of overestimation of industrial heat in urban regions. This study provides new methods and ideas for the accurate spatiotemporal quantification of AHF that can supplement future studies on climate warming, UHI, and air pollution. Â© 2022 Elsevier Ltd","Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing, 100094, China; University of Chinese Academy of Sciences, Beijing, 100094, China; Key Laboratory of Earth Observation of Hainan Province, Hainan Research Institute, Aerospace Information Research Institute, Chinese Academy of Sciences, Sanya, 572029, China",Environmental Pollution,10.1016/j.envpol.2022.118917,8,4,No,,China,,,,,,,,,,,,,,,,,,,,,
