index,ID,Source,date,art_type,authors,affiliations,title,keywords,abstract,publisher,doi,citations,Citations per year,Include,ML/DL techniques,Ensemble/stacked models,Spatial,Country,Type of modelling,Pollutant analysed,Output produced,Pollutants considered,Pollutants source,Spatial resolution,Time resolution,Other data,Source of other data,Spatial resolution.1,Time resolution.1,Comments,Accuracy,Feature selection,FS Comments,Optimization,Optimization comments,Transformation,Transformation comments,Decomposition,Decomposition comments,Outlier removal,OR comments,Gap fill,GF comments,geospatial study description
668,2-s2.0-85080109566,Scopus,2020,Article,"Jin X.-B., Yang N.-X., Wang X.-Y., Bai Y.-T., Su T.-L., Kong J.-L.","School of Computer and Information Engineering, Beijing Technology and Business University, Beijing, 100048, China; China Light Industry Key Laboratory of Industrial Internet and Big Data, Beijing Technology and Business University, Beijing, 100048, China; Beijing Key Laboratory of Big Data Technology for Food Safety, Beijing Technology and Business University, Beijing, 100048, China",Deep hybrid model based on EMD with classification by frequency characteristics for long-term air quality prediction,Air pollution prediction; CNN; EMD; GRU; PM2.5 data,"Air pollution (mainly PM2.5) is one of the main environmental problems about air quality. Air pollution prediction and early warning is a prerequisite for air pollution prevention and control. However, it is not easy to accurately predict the long-term trend because the collected PM2.5 data have complex nonlinearity with multiple components of different frequency characteristics. This study proposes a hybrid deep learning predictor, in which the PM2.5 data are decomposed into components by empirical mode decomposition (EMD) firstly, and a convolutional neural network (CNN) is built to classify all the components into a fixed number of groups based on the frequency characteristics. Then, a gated-recurrent-unit (GRU) network is trained for each group as the sub-predictor, and the results from the three GRUs are fused to obtain the prediction result. Experiments based on the PM2.5 data from Beijing verify the proposed model, and the prediction results show that the decomposition and classification can develop the accuracy of the proposed predictor for air pollution prediction greatly. Â© 2020 by the authors.",Mathematics,10.3390/math8020214,65,17,Yes,"GRU,LSTM,RNN,STACK",GRU-ARIMA,No,China,,,,,,,,,,,,,,,,,,,,,,,,,,
707,2-s2.0-85075525049,Scopus,2020,Article,"Zhao C., Wang Q., Ban J., Liu Z., Zhang Y., Ma R., Li S., Li T.","National Institute of Environmental Health, Chinese Center for Disease Control and Prevention, Beijing, 100021, China; College of Environmental Sciences and Engineering, Peking University, Beijing, 100871, China; State Key Laboratory of Remote Sensing Science, Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing, 100101, China",Estimating the daily PM2.5 concentration in the Beijing-Tianjin-Hebei region using a random forest model with a 0.01Â°?Ã?0.01Â° spatial resolution,High spatiotemporal resolution; Human exposure; Machine learning; PM2.5 estimation,"High spatiotemporal resolution fine particulate matter (PM2.5) simulations can provide important exposure data for the assessment of long-term and short-term health effects. Satellite-based aerosol optical depth (AOD) data, meteorological data, and topographic data have become key variables for PM2.5 estimation. In this study, a random forest model was developed and used to estimate the highest resolution (0.01Â° Ã 0.01Â°) daily PM2.5 concentrations in the Beijing-Tianjin-Hebei region. Our model had a suitable performance (cv-R2 = 0.83 and test-R2 = 0.86). The regional test-R2 value in southern Beijing-Tianjin-Hebei was higher than that in northern Beijing-Tianjin-Hebei. The model performance was excellent at medium to high PM2.5 concentrations. Our study considered meteorological lag effects and found that the boundary layer height of the one-day lag had the most important contribution to the model. AOD and elevation factors were also important factors in the modeling process. High spatiotemporal resolution PM2.5 concentrations in 2010Â2016 were estimated using a random forest model, which was based on PM2.5 measurements from 2013 to 2016. Â© 2019 The Authors",Environment International,10.1016/j.envint.2019.105297,65,17,Yes,RF,,No,China,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2-s2.0-85077357692,Scopus,2020,Article,"Wang H.-W., Li X.-B., Wang D., Zhao J., He H.-D., Peng Z.-R.","Center for Intelligent Transportation Systems and Unmanned Aerial Systems Applications, State Key Laboratory of Ocean Engineering, School of Naval Architecture, Ocean and Civil Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China; Institute for Environmental and Climate Research, Jinan University, Guangzhou, 510632, China; Department of Computer Science, Viterbi School of Engineering, University of Southern California, Los Angeles, CA 90089, United States; International Center for Adaptation Planning and Design (iAdapt), School of Landscape Architecture and Planning, College of Design, Construction and Planning, University of Florida, P.O. Box 115706, Gainesville, FL 32611-5706, United States",Regional prediction of ground-level ozone using a hybrid sequence-to-sequence deep learning approach,Air quality monitoring network; Deep learning; Ozone prediction; Sequence to sequence model; Spatiotemporal correlation,"Ozone is one of the most important greenhouse gases and air pollutants in urban areas, and has significantly negative impacts both on the climate change and human health. In addition to alert the public for health concerns, accurate ozone prediction is also crucial to understand the formation mechanisms of surface ozone episodes, and has significant implications for making emission control strategies of ozone precursors such as methane, carbon monoxide, and volatile organic compounds. However, existing methods of ozone concentration prediction could not effectively capture temporal dependency, and most neglect spatial correlations. In this study, a hybrid sequence to sequence model embedded with the attention mechanism is proposed for predicting regional ground-level ozone concentration. In the proposed model, the inherent spatiotemporal correlations in air quality monitoring network are simultaneously extracted, learned and incorporated, and auxiliary air pollution and meteorological information are adaptively involved. The hourly data collected from 35 air quality monitoring stations and 651 meteorological girds in Beijing, China are used to validate the present model. The results demonstrate that the spatiotemporal correlations in the monitoring network present enormous advantages for the regional ozone prediction. Auxiliary data and time lags matching day-of-week or diurnal periods of ozone are confirmed to benefit the improvement of prediction accuracy. Monitoring stations in urban areas exhibit better prediction performances than stations in remote areas. The addressed model outperforms the baseline models, and is proven to have excellent performance in all monitoring station categories of Beijing and different months with significant disparity of ozone concentrations. Â© 2019 Elsevier Ltd",Journal of Cleaner Production,10.1016/j.jclepro.2019.119841,61,16,Yes,DNN,,Yes,"China,United States",,O3,,"O3, SO2, NO2, PM2.5, PM10, CO",,point,hourly,Meteo,Weather Research and Forecasting (WRF) model,5km,hourly,Interesting approach to sepparate temporal and spatial models and then merge them,,NS,,NS,,NS,,NS,,NS,,NS,,"In spatial modelling, the Deep Neural Network (DNN) is implemented for extracting and modelling the spatial information in the air quality monitoring network"
344,2-s2.0-85120620764,Scopus,2022,Article,"Yang N., Shi H., Tang H., Yang X.","State Key Laboratory of Remote Sensing Science, Jointly Sponsored by Beijing Normal University and Institute of Remote Sensing and Digital Earth of Chinese Academy of Sciences, Beijing, 100875, China; College of Global Change and Earth System Science, Beijing Normal University, Beijing, 100875, China; Beijing Key Laboratory for Remote Sensing of Environment and Digital Cities, Faculty of Geographical Science, Beijing Normal University, Beijing, 100875, China",Geographical and temporal encoding for improving the estimation of PM2.5 concentrations in China using end-to-end gradient boosting,Air pollution; AOD; Geographical and temporal encoding; Geographical mapping; Gradient boosting machine; Nonlinear analysis; PM2.5; Spatiotemporal prediction,"Fine particulate matter with aerodynamic diameters less than 2.5 ?m (PM2.5) profoundly affects environmental systems and human health. To dynamically monitor fine particulate matter over large geographic areas, some machine learning methods have been utilized to estimate its concentration using satellite-based aerosol optical depth (AOD). To improve the estimation of PM2.5 concentration across large areas, a geospatial-temporal joint code is proposed in this paper to characterize the influence of spatial-temporal information hidden in satellite-based aerosol products. This encoding method can reveal the relationship between the PM2.5 concentration and its geospatial location and observation time. Instead of aggregating observation data over neighbors, the method directly encodes the spatial-temporal information as features of the end-to-end gradient boosting model for the estimation of PM2.5. Experimental results of PM2.5 concentration in 2019 across China show that the state-of-the-art method is outperformed by the proposed method by a large margin, with R2 from 0.89 to 0.92, RMSE from 10.35 to 7.89 ?g/m3, and MAE from 6.71 to 5.17 ?g/m3. In addition, overall partial dependence plots (PDPs) are used for the first time to visualize the complicated relationship between satellite-based aerosol products and PM2.5 concentrations. Â© 2021 The Authors",Remote Sensing of Environment,10.1016/j.rse.2021.112828,31,16,Yes,GBM,,Yes,China,,,,,,,,,,,,,,,,,,,,,,,,,,
464,2-s2.0-85099062145,Scopus,2021,Article,"Zhang B., Zou G., Qin D., Lu Y., Jin Y., Wang H.","College of Information, Mechanical and Electrical Engineering, Shanghai Normal University, Shanghai, 200234, China; The Key Laboratory of Road and Traffic Engineering, Ministry of Education, Tongji University, Shanghai, 201804, China; College of Electronic and Information Engineering, Tongji University, 201804 and now is with the 3Clear, Beijing, Shanghai 100029, China; School of Computing, University of Ulster, United Kingdom",A novel Encoder-Decoder model based on read-first LSTM for air pollutant prediction,Air pollutant prediction; Deep learning; Encoder-Decoder model; Long short term memory; Numerical analysis; Recurrent neural networks,"Accurate air pollutant prediction allows effective environment management to reduce the impact of pollution and prevent pollution incidents. Existing studies of air pollutant prediction are mostly interdisciplinary involving environmental science and computer science where the problem is formulated as time series prediction. A prevalent recent approach to time series prediction is the Encoder-Decoder model, which is based on recurrent neural networks (RNN) such as long short-term memory (LSTM), and great potential has been demonstrated. An LSTM network relies on various gate units, but in most existing studies the correlation between gate units is ignored. This correlation is important for establishing the relationship of the random variables in a time series as the stronger is this correlation, the stronger is the relationship between the random variables. In this paper we propose an improved LSTM, named Read-first LSTM or RLSTM for short, which is a more powerful temporal feature extractor than RNN, LSTM and Gated Recurrent Unit (GRU). RLSTM has some useful properties: (1) enables better store and remember capabilities in longer time series and (2) overcomes the problem of dependency between gate units. Since RLSTM is good at long term feature extraction, it is expected to perform well in time series prediction. Therefore, we use RLSTM as the Encoder and LSTM as the Decoder to build an Encoder-Decoder model (EDSModel) for pollutant prediction in this paper. Our experimental results show, for 1 to 24 h prediction, the proposed prediction model performed well with a root mean square error of 30.218. The effectiveness and superiority of RLSTM and the prediction model have been demonstrated. Â© 2020 Elsevier B.V.",Science of the Total Environment,10.1016/j.scitotenv.2020.144507,47,16,Yes,LSTM,,No,"China,United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,
487,2-s2.0-85101480316,Scopus,2021,Article,"Samal K.K.R., Babu K.S., Das S.K.","Department of Computer science and Engineering, National Institute of Technology Rourkela769008, India; Department of Electronics and Communication Engineering, National Institute of Technology Rourkela769008, India",Multi-directional temporal convolutional artificial neural network for PM2.5 forecasting with missing values: A deep learning approach,Artificial Neural Network; Deep learning; PM2.5; Temporal Convolutional Network; Time series forecasting,"Data imputation and forecasting are the major research areas in environmental data engineering. Solving those critical issues has an immense impact on air pollution management, consequently improving social, economic growth, and public health. Missing data is a common issue for all the domains, especially for environmental data analysis. Most of the research study tries to solve all these problems of time series data using different models. This research study presents a novel deep learning-based hybrid model architecture to solve these issues in a single training process. We come up with Multi-directional Temporal Convolutional Artificial Neural Network (MTCAN) model to impute and forecast PM2.5 pollutant concentration in a single training process. The main idea of the multi-directional properties of MTCAN is to interpolate the PM2.5 pollutant feature matrix to impute its value. Ultimately, it maintains the temporal correlation within the features' measurement and meteorological and pollutant variables to impute PM2.5 missing values. The MTCAN model performs feature learning and sequential modeling simultaneously with a wide range of past observations for long-term forecasting, minimizing memory size requirement and training cost. Experimental results indicate that the proposed model is superior to baseline pollution forecasting models, which prove its effectiveness in air quality modeling. Â© 2021 Elsevier B.V.",Urban Climate,10.1016/j.uclim.2021.100800,47,16,Yes,"TCNN,SVM,ANN,LSTM,GRU",,No,India,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2-s2.0-85135700497,Scopus,2022,Article,"Jin H., Chen X., Zhong R., Liu M.","School of Civil Engineering, Sun Yat-sen University, Guangzhou, 510275, China; Guangdong Engineering Technology Research Center of Water Security Regulation and Control for Southern China, Sun Yat-sen University, Guangzhou, 510275, China; Key Laboratory of Water Cycle and Water Security in Southern China of Guangdong High Education Institute, Sun Yat-sen University, Guangzhou, 510275, China; The Fenner School of Environment and Society, The Australian National University (ANU), Canberra, ACT 0200, Australia",Influence and prediction of PM2.5 through multiple environmental variables in China,Cluster; Correlation; Deep learning; PM2.5; Regression,"Fine particulate matter (PM2.5) is an important indicator to measure the degree of air pollution. With the pursuit of sustainable development of China's economy and society, air pollution has been paid more and more attention. The spatial distribution of PM2.5 is affected by multiple factors. In this study, we selected Normalized Difference Vegetation Index (NDVI), precipitation, temperature, wind speed and elevation data to analyze the impact of each variable on PM2.5 in different regions of China. The results show that the high-value areas of PM2.5 were mainly concentrated in the North China Plain, the middle and lower reaches of the Yangtze River Plain, the Sichuan Basin, and the Tarim Basin. PM2.5 showed an upward trend in North China, Northeast China and Northwest China, while in most of South China, especially the Sichuan Basin, PM2.5 showed a downward trend. Therefore, the northern region of China needs to take measures to curb the growth of PM2.5. In Northwest China, wind speed and temperature had a greater impact on PM2.5. In North China, wind speed had a greater impact on PM2.5. In southern China, temperature and NDVI had a greater impact on PM2.5. The deep learning model can better simulate the spatial distribution of PM2.5 based on the selected variables. The clustering effect of single variable is better than multivariate spatial information clustering based on principal component analysis (PCA). It is difficult to explain which variable has the greatest impact on PCA clustering. This study can provide an important reference for PM2.5 prevention and control in different regions of China. Â© 2022 Elsevier B.V.",Science of the Total Environment,10.1016/j.scitotenv.2022.157910,29,15,Yes,"LR,DNN",,No,"China,Australia",,,,,,,,,,,,,,,,,,,,,,,,,,
116,2-s2.0-85083825455,Scopus,2020,Article,"Bozda? A., Dokuz Y., GÃ¶kÃ§ek Ã.B.","Faculty of Engineering, Department of Geomatics Engineering, Nigde Omer Halisdemir University, Nigde, 51240, Turkey; Faculty of Engineering, Department of Computer Engineering, Nigde Omer Halisdemir University, Nigde, 51240, Turkey; Faculty of Engineering, Department of Environmental Engineering, Ni?de Ãmer Halisdemir University, Nigde, 51240, Turkey","Spatial prediction of PM10 concentration using machine learning algorithms in Ankara, Turkey",Air pollution parameter; Artificial intelligence; Machine learning; Predictive modeling; Spatial distribution,"With the increase in population and industrialization, air pollution has become one of the global problems nowadays. Therefore, air pollutant parameters should be measured at regular intervals, and the necessary measures should be taken by evaluating the results of measurements. In order to prevent air pollution, pollutant parameters must be evaluated within the framework of a model. Recently, in order to obtain objective and more sensitive results with regard to air pollution nowadays, studies, which use machine learning algorithms in artificial intelligence technologies, have been carried out. In this study, PM10 concentrations, which are obtained from 7 stations in Ankara province in Turkey, were trained with machine learning algorithms (LASSO, SVR, RF, kNN, xGBoost, ANN). The PM10 concentrations of the years 2009Â2017 of 6 stations in Ankara were given as input, and the PM10 concentrations of the seventh station for the year 2018 were predicted. The model development stage was repeated for each station, and the performance and error rates of the algorithms were determined by comparing the results produced by the algorithms with the actual results. The best results were provided with ANN (R2 = 0.58, RMSE = 20.8, MAE = 14.4). The spatial distribution of the estimated concentration results was provided through Geographic Information System (GIS), and spatial strategies for improving air pollution over land use were established. Â© 2020 Elsevier Ltd",Environmental Pollution,10.1016/j.envpol.2020.114635,60,15,Yes,"LASSO,SVM,RF,KNN,XGB,DNN",,Yes,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,
247,2-s2.0-85117774501,Scopus,2022,Article,"Gu Y., Li B., Meng Q.","Department of Computer Science, University of Roehampton, London, SW15 5PU, United Kingdom; Department of Computer Science, Loughborough University, Loughborough, LE11 3TU, United Kingdom; Department of Computer Science, Loughborough University, Loughborough, LE11 3TU, United Kingdom",Hybrid interpretable predictive machine learning model for air pollution prediction,Air pollution prediction; Interpretable machine learning; NARMAX model; Neural network,"Air pollution prediction is a burning issue, as pollutants can harm human health. Traditional machine learning models usually aim to improve the overall prediction accuracy but neglect the accuracy for peak values. Moreover, these models are not interpretable. They fail to explain the interactions between various determining factors and their impacts on air pollution. In this paper, we propose a new Hybrid Interpretable Predictive Machine Learning model for the Particulate Matter 2.5 prediction, which carries two novelties. First, a hybrid model structure is constructed with deep neural network and Nonlinear Auto Regressive Moving Average with Exogenous Input model. Second, automatic feature generation and feature selection procedures are integrated into this hybrid model. The experimental results demonstrate the superiority of our model over other models in prediction accuracy for peak values and model interpretability. The proposed model reveals how PM2.5 prediction is estimated by historical PM2.5, weather, and season. The accuracies (measured by correlation coefficients) of 1, 3 and 6-hour-ahead prediction are 0.9870, 0.9332 and 0.8587, respectively. More importantly, the proposed approach presents a new interpretable machine learning framework for time series data, enabling to explain complex dependence of multimode inputs, and to build reliable predictive models. Â© 2021 Elsevier B.V.",Neurocomputing,10.1016/j.neucom.2021.09.051,30,15,Yes,"DNN,ARIMA",,No,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,
644,2-s2.0-85084764020,Scopus,2020,Article,"Yang G., Lee H.M., Lee G.","Department of Computer Science, Soonchunhyang University, Asan, 31538, South Korea; Department of Computer Software and Engineering, Soonchunhyang University, Asan, 31538, South Korea; Department of Landscape Architecture, Chonnam National University, Gwangju, 61186, South Korea","A hybrid deep learning model to forecast particulate matter concentration levels in Seoul, South Korea",Air quality; Gated recurrent unit; Hybrid models; Long short-term memory; Particulate matter,"Both long-and short-term exposure to high concentrations of airborne particulate matter (PM) severely affect human health. Many countries now regulate PMconcentrations. Early-warning systems based on PMconcentration levels are urgently required to allow countermeasures to reduce harm and loss. Previous studies sought to establish accurate, efficient predictive models. Many machine-learning methods are used for air pollution forecasting. The long short-term memory and gated recurrent unit methods, typical deep-learning methods, reliably predict PM levels with some limitations. In this paper, the authors proposed novel hybrid models to combine the strength of two types of deep learning methods. Moreover, the authors compare hybrid deep-learning methods (convolutional neural network (CNN)-long short-term memory (LSTM) and CNN-gated recurrent unit (GRU)with several stand-alonemethods (LSTM, GRU) in terms of predicting PMconcentrations in 39 stations in Seoul. Hourly air pollution data and meteorological data from January 2015 to December 2018 was used for these training models. The results of the experiment confirmed that the proposed predictionmodel could predict the PMconcentrations for the next 7 days. Hybridmodels outperformed single models in five areas selected randomly with the lowest root mean square error (RMSE) and mean absolute error (MAE) values for both PM10 and PM2.5. The error rate for PM10 prediction in Gangnam with RMSE is 1.688, and MAE is 1.161. For hybrid models, the CNN-GRU better-predicted PM10 for all stations selected, while the CNN-LSTM model performed better on predicting PM2.5. Â© 2020 by the authors.",Atmosphere,10.3390/atmos11040348,59,15,Yes,"LSTM,GRU",,No,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,2-s2.0-85149308750,Scopus,2023,Article,Zheng Q.; Tian X.; Yu Z.; Jiang N.; Elhanashi A.; Saponara S.; Yu R.,"School of Intelligent Engineering, Shandong Management University, Jinan, 250357, China; Qingdao Research Academy of Environmental Sciences, Qingdao Municipal Bureau of Ecology and Environment, Qingdao, 266003, China; School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, 430000, China; Department of Information Engineering, University of Pisa, Pisa, 56122, Italy; Department of Electrical and Computer Engineering, University of Kentucky, 40503, Lexington, United States","Application of wavelet-packet transform driven deep learning method in PM2.5 concentration prediction: A case study of Qingdao, China",Air pollution; Deep learning; Generalization; PM<sub>2.5</sub> prediction; Sustainable city; Wavelet-packet transform (WPT),"Air pollution is one of the most serious environmental problems faced by human beings, and it is also a hot topic in the development of sustainable cities. Accurate PM2.5 prediction plays an important supporting role in urban governance and planning, and government decision-making. Hence, air quality sensing and prediction systems based on artificial intelligence take more and more place in the governance towards sustainable cities. In this paper, we propose a wavelet-packet transform (WPT) driven deep learning model to predict the hourly PM2.5 concentration and verify its effectiveness when applied to Qingdao, China. The wavelet packet is first applied to decompose the meteorological data into sub-time series with different frequencies at different resolutions (STSs-DFDR). Then a multi-dimensional LSTM considering both spatial and temporal information is developed to extract key features from STSs-DFDR to accomplish PM2.5 prediction. As far as we know, this is the first attempt to simultaneously predict PM2.5 concentrations in different regions with a single model. Moreover, we find that the multi-scale analysis of time series is of great help to improve the cross-regional generalization of deep learning models. Finally, experimental results show that the proposed method achieves state-of-the-art PM2.5 prediction performance by comparing it with various methods. © 2023 Elsevier Ltd",Sustainable Cities and Society,10.1016/j.scs.2023.104486,15,15,Yes,"WNN,LSTM",,Yes,"China,Italy,United States",,,,,,,,,,,,,,,,,,,,,,,,,,
1214,2-s2.0-85145340293,Scopus,2023,Article,Zhang K.; Yang X.; Cao H.; Thé J.; Tan Z.; Yu H.,"School of Chemical Engineering and Technology, China University of Mining and Technology, Jiangsu, Xuzhou, 221116, China; Key Laboratory of Coal Processing and Efficient Utilization, Ministry of Education, Jiangsu, Xuzhou, 221116, China; Department of Mechanical & Mechatronics Engineering, University of Waterloo, 200 University Avenue West, Waterloo, N2L 3G1, ON, Canada; Lakes Environmental Research Inc., 170 Columbia St. W. Suite 1, Waterloo, N2L 3L3, ON, Canada; Department of Energy and Power Engineering, Tsinghua University, Beijing, 100084, China",Multi-step forecast of PM2.5 and PM10 concentrations using convolutional neural network integrated with spatial–temporal attention and residual learning,Convolutional neural network; Deep learning; PM concentration forecasting; Residual learning; Spatial-temporal attention,"Accurate and reliable forecasting of PM2.5 and PM10 concentrations is important to the public to reasonably avoid air pollution and for the governmental policy responses. However, the prediction of PM2.5 and PM10 concentrations has great uncertainty and instability because of the dynamics of atmospheric flows, making it difficult for a single model to efficiently extract the spatial–temporal dependences. This paper reports a robust forecasting system to achieve accurate multi-step ahead forecasting of PM2.5 and PM10 concentrations. First, correlation analysis is adopted to screen the spatial information on pollution and meteorology that may facilitate the prediction of concentrations in a target city. Then, a spatial–temporal attention mechanism is used to assign weights to original inputs from both space and time dimensions to enhance the essential information. Subsequently, the residual-based convolutional neural network with feature extraction capabilities is employed to model the refined inputs. Finally, five accuracy metrics and two additional statistical tests are applied to comprehensively assess the performance of the proposed forecasting system. In addition, experimental studies of three major cities in the Yangtze River Delta urban agglomeration region indicate that the forecasting system outperforms various prevalent baseline models in terms of accuracy and stability. Quantitatively, the proposed STA-ResCNN model reduces root mean square error by 5.595 %-15.247 % and 6.827 %-16.906 % for the average of 1–4 h ahead predictions in three major cities of PM2.5 and PM10, respectively, compared to baseline models. The applicability and generalization of the proposed forecasting system are further verified by the extended applications in the other 23 cities in the entire region. The results prove that the forecasting system is promising in the early warning, regional prevention, and control of air pollution. © 2022 The Author(s)",Environment International,10.1016/j.envint.2022.107691,15,15,Yes,CNN,,Yes,"China,Canada",,,,,,,,,,,,,,,,,,,,,,,,,,Spatial-temporal attention CNN model
103,2-s2.0-85085273957,Scopus,2020,Article,"Chang F.-J., Chang L.-C., Kang C.-C., Wang Y.-S., Huang A.","Department of Bioenvironmental Systems Engineering, National Taiwan University, Taipei, 10617, Taiwan; Department of Water Resources and Environmental Engineering, Tamkang University, New Taipei City, 25137, Taiwan",Explore spatio-temporal PM2.5 features in northern Taiwan using machine learning techniques,Back propagation neural network (BPNN); Gamma Test; Multi-step-ahead prediction; PM2.5; Self-organizing map (SOM); Spatio-temporal variation,"The complex mixtures of local emission sources and regional transportations of air pollutants make accurate PM2.5 prediction a very challenging yet crucial task, especially under high pollution conditions. A symbolic representation of spatio-temporal PM2.5 features is the key to effective air pollution regulatory plans that notify the public to take necessary precautions against air pollution. The self-organizing map (SOM) can cluster high-dimensional datasets to form a meaningful topological map. This study implements the SOM to effectively extract and clearly distinguish the spatio-temporal features of long-term regional PM2.5 concentrations in a visible two-dimensional topological map. The spatial distribution of the configured topological map spans the long-term datasets of 25 monitoring stations in northern Taiwan using the Kriging method, and the temporal behavior of PM2.5 concentrations at various time scales (i.e., yearly, seasonal, and hourly) are explored in detail. Finally, we establish a machine learning model to predict PM2.5 concentrations for high pollution events. The analytical results indicate that: (1) high population density and heavy traffic load correspond to high PM2.5 concentrations; (2) the change of seasons brings obvious effects on PM2.5 concentration variation; and (3) the key input variables of the prediction model identified by the Gamma Test can improve model's reliability and accuracy for multi-step-ahead PM2.5 prediction. The results demonstrated that machine learning techniques can skillfully summarize and visibly present the clusted spatio-temporal PM2.5 features as well as improve air quality prediction accuracy. Â© 2020 Elsevier B.V.",Science of the Total Environment,10.1016/j.scitotenv.2020.139656,56,14,Yes,BPNN,,Yes,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,
525,2-s2.0-85112068174,Scopus,2021,Article,"Dairi A., Harrou F., Khadraoui S., Sun Y.","Computer Science Department Signal, Image and Speech Laboratory (SIMPA) Laboratory, University of Science and Technology of Oran-Mohamed Boudiaf (USTO-MB), Bir El Djir, Algeria; Computer, Electrical and Mathematical Sciences and Engineering (CEMSE) Division, KAUST, Thuwal, Saudi Arabia; Department of Electrical Engineering, University of Sharjah, Sharjah, United Arab Emirates",Integrated Multiple Directed Attention-Based Deep Learning for Improved Air Pollution Forecasting,Air pollution concentrations forecasting; deep learning; integrated multiple directed attention variational autoencoder (IMDA-VAE); multiple directed attention; time series,"In recent years, human health across the world is becoming concerned by a constant threat of air pollution, which causes many chronic diseases and premature mortalities. Poor air quality does not have only serious adverse effects on human health and vegetation but also some major negative political, societal, and economic impacts. Hence, it is essential to invest more effort on accurate forecasting of ambient air pollution to provide practical and relevant solutions, achieve acceptable air quality, and plan for prevention. In this work, we propose a flexible and efficient deep learning-driven model to forecast concentrations of ambient pollutants. This article introduces first the traditional variational autoencoder (VAE) and the attention mechanism to develop the forecasting modeling strategy based on the innovative integrated multiple directed attention (IMDA) deep learning architecture. To assess the performance of the proposed forecasting methodology, experimental validation is then performed using air pollution data from four US states. Six statistical indicators have been used to evaluate the forecasting accuracy. A discussion of the results obtained finally demonstrates the satisfying performance of integrated multiple directed attention variational autoencoder (IMDA-VAE) methods to forecast different pollutants in different locations. Furthermore, results indicate that the proposed IMDA-VAE model can effectively improve air pollution forecasting performance and outperforms the deep learning models, namely VAE, long short-term memory (LSTM), gated recurrent units (GRU), bidirectional LSTM, bidirectional GRU, and ConvLSTM. We also showed that the forecasting results of the proposed model surpass the performance of LSTM and GRU with the attention mechanism. Â© 2012 IEEE.",IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2021.3091511,42,14,Yes,"VAE,LSTM,GRU",,No,"Algeria,Saudi Arabia,United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,,,,
641,2-s2.0-85076600532,Scopus,2020,Article,"Zhang Y., Zhang R., Ma Q., Wang Y., Wang Q., Huang Z., Huang L.","North China Electric Power University, School of Control and Computer Engineering, Beijing, 102206, China",A feature selection and multi-model fusion-based approach of predicting air quality,Air quality prediction; Feature selection; Machine learning; Model fusion,"With the rapid development of China's industrialization, the air pollution is becoming more and more serious. It is vital for us to predict the air quality for determining the further prevention measures of avoiding the brought disasters. In this paper, we are going to propose an approach of predicting the air quality based on the multiple data features through fusing the multiple machine learning models. The approach takes the meteorological data and air quality data for the past six days as one batch of input (the whole data set is for 46 days) and employs a multi-model fusion to provide an improved 24-hour prediction of PM2.5 pollutant concentration all over Beijing. During the above process, two focal feature groups are composed. The first focal feature group contains the historical meteorological data, while the second group includes the statistical information, the date information and the polynomial variations. Besides the two groups, we complement one million more data items by employing the time sliding means. Among the supplementary data, we select the most critical 500 features with Light Gradient Boosting Machine (LightGBM) model and send the features as the input to Gradient Boosting Decision Tree (GBDT) and LightGBM models. Meanwhile, we screen the most critical 300 features with eXtreme Gradient Boosting (XGBoost) model and send them as the input to the three prediction models. Referring to each of the models, we respectively gain the optimal parameters through grid search methods and then fuse the modelsÂ contribution with the linear weighting. The experiments indicate that the proposed approach based on the weighting fusion is better than that provided by a single modeling scheme, and the loss value is 0.4158 under the SMAPE index. Â© 2019 ISA",ISA Transactions,10.1016/j.isatra.2019.11.023,55,14,Yes,"LGBM,GBDT,XGB",,No,China,,,,,,,,,,,,,,,,,,,,,,,,,,
